tournament,match_number,date,team_a,team_b,team_a_goals,team_b_goals,team_a_fifa,team_b_fifa,odds_home,odds_draw,odds_away
2010,1,2010-06-11,ZAF,MEX,1,1,630,980,11.93,4.21,1.59
2010,2,2010-06-11,URY,FRA,0,0,1120,1270,4.73,4.21,2.0
2010,3,2010-06-16,ZAF,URY,0,3,630,1120,24.97,4.21,1.49
2010,4,2010-06-17,FRA,MEX,0,2,1270,980,1.67,4.21,8.85
2010,5,2010-06-22,MEX,URY,0,1,980,1120,4.55,4.21,2.03
2010,6,2010-06-22,FRA,ZAF,1,2,1270,630,1.44,4.21,57.28
2010,7,2010-06-12,ARG,NGA,1,0,1375,910,1.5,4.21,21.81
2010,8,2010-06-12,KOR,GRC,2,0,770,880,4.05,4.21,2.15
2010,9,2010-06-17,ARG,KOR,4,1,1375,770,1.45,4.21,47.08
2010,10,2010-06-17,GRC,NGA,2,1,880,910,3.07,4.21,2.58
2010,11,2010-06-22,NGA,KOR,2,2,910,770,2.03,4.21,4.55
2010,12,2010-06-22,GRC,ARG,0,2,880,1375,25.65,4.21,1.48
2010,13,2010-06-12,GBR,USA,1,1,1325,950,1.57,4.21,13.56
2010,14,2010-06-13,DZA,SVN,0,1,820,720,2.19,4.21,3.9
2010,15,2010-06-18,SVN,USA,2,2,720,950,6.68,4.21,1.78
2010,16,2010-06-18,GBR,DZA,0,0,1325,820,1.48,4.21,27.09
2010,17,2010-06-23,SVN,GBR,0,1,720,1325,47.08,4.21,1.45
2010,18,2010-06-23,USA,DZA,1,0,950,820,2.07,4.21,4.37
2010,19,2010-06-13,DEU,AUS,4,0,1410,920,1.49,4.21,24.97
2010,20,2010-06-13,SRB,GHA,0,1,1030,840,1.87,4.21,5.59
2010,21,2010-06-18,DEU,SRB,0,1,1410,1030,1.56,4.21,13.91
2010,22,2010-06-19,GHA,AUS,1,1,840,920,3.63,4.21,2.29
2010,23,2010-06-23,GHA,DEU,0,1,840,1410,38.75,4.21,1.46
2010,24,2010-06-23,AUS,SRB,2,1,920,1030,4.05,4.21,2.15
2010,25,2010-06-14,NLD,DNK,2,0,1510,1080,1.52,4.21,18.08
2010,26,2010-06-14,JPN,CMR,1,0,820,900,3.63,4.21,2.29
2010,27,2010-06-19,NLD,JPN,1,0,1510,820,1.43,4.21,75.91
2010,28,2010-06-19,CMR,DNK,1,2,900,1080,5.36,4.21,1.9
2010,29,2010-06-24,CMR,NLD,1,2,900,1510,48.42,4.21,1.45
2010,30,2010-06-24,DNK,JPN,1,3,1080,820,1.72,4.21,7.67
2010,31,2010-06-14,ITA,PRY,1,1,1435,870,1.46,4.21,37.69
2010,32,2010-06-15,NZL,SVK,1,1,520,770,7.32,4.21,1.74
2010,33,2010-06-20,SVK,PRY,0,2,770,870,3.9,4.21,2.19
2010,34,2010-06-20,ITA,NZL,1,1,1435,520,1.41,4.21,273.5
2010,35,2010-06-24,SVK,ITA,3,2,770,1435,65.93,4.21,1.43
2010,36,2010-06-24,PRY,NZL,0,0,870,520,1.59,4.21,11.93
2010,37,2010-06-15,BRA,PRK,2,1,1612,420,1.4,4.21,1341.74
2010,38,2010-06-15,CIV,PRT,0,0,1100,1220,4.2,4.21,2.11
2010,39,2010-06-20,BRA,CIV,3,1,1612,1100,1.48,4.21,28.15
2010,40,2010-06-21,PRT,PRK,7,0,1220,420,1.42,4.21,141.75
2010,41,2010-06-25,PRT,BRA,0,0,1220,1612,14.81,4.21,1.55
2010,42,2010-06-25,PRK,CIV,0,3,420,1100,71.75,4.21,1.43
2010,43,2010-06-16,ESP,CHE,0,1,1595,960,1.44,4.21,55.69
2010,44,2010-06-16,CHL,HND,1,0,1180,760,1.53,4.21,17.15
2010,45,2010-06-21,CHL,CHE,1,0,1180,960,1.8,4.21,6.38
2010,46,2010-06-21,ESP,HND,2,0,1595,760,1.41,4.21,173.08
2010,47,2010-06-25,CHL,ESP,1,2,1180,1595,16.7,4.21,1.53
2010,48,2010-06-25,CHE,HND,0,0,960,760,1.85,4.21,5.84
