tournament,match_number,date,team_a,team_b,team_a_goals,team_b_goals,team_a_fifa,team_b_fifa,odds_home,odds_draw,odds_away
2022,1,2022-11-20,QAT,ECU,0,2,800,950,4.73,4.21,2.0
2022,2,2022-11-21,SEN,NLD,0,2,1050,1250,5.84,4.21,1.85
2022,3,2022-11-25,QAT,SEN,1,3,800,1050,7.32,4.21,1.74
2022,4,2022-11-25,NLD,ECU,1,1,1250,950,1.65,4.21,9.3
2022,5,2022-11-29,NLD,QAT,2,0,1250,800,1.51,4.21,20.12
2022,6,2022-11-29,ECU,SEN,1,2,950,1050,3.9,4.21,2.19
2022,7,2022-11-21,GBR,IRN,6,2,1200,900,1.65,4.21,9.3
2022,8,2022-11-21,USA,WAL,1,1,1000,1050,3.28,4.21,2.46
2022,9,2022-11-25,WAL,IRN,0,2,1050,900,2.0,4.21,4.73
2022,10,2022-11-25,GBR,USA,0,0,1200,1000,1.85,4.21,5.84
2022,11,2022-11-29,WAL,GBR,0,3,1050,1200,4.73,4.21,2.0
2022,12,2022-11-29,IRN,USA,0,1,900,1000,3.9,4.21,2.19
2022,13,2022-11-22,ARG,SAU,1,2,1250,850,1.54,4.21,15.44
2022,14,2022-11-22,MEX,POL,0,0,1050,1100,3.28,4.21,2.46
2022,15,2022-11-26,ARG,MEX,2,0,1250,1050,1.85,4.21,5.84
2022,16,2022-11-26,POL,SAU,2,0,1100,850,1.74,4.21,7.32
2022,17,2022-11-30,POL,ARG,0,2,1100,1250,4.73,4.21,2.0
2022,18,2022-11-30,SAU,MEX,1,2,850,1050,5.84,4.21,1.85
2022,19,2022-11-22,FRA,AUS,4,1,1250,850,1.54,4.21,15.44
2022,20,2022-11-22,DNK,TUN,0,0,1050,900,2.0,4.21,4.73
2022,21,2022-11-26,FRA,DNK,2,1,1250,1050,1.85,4.21,5.84
2022,22,2022-11-26,TUN,AUS,0,1,900,850,2.46,4.21,3.28
2022,23,2022-11-30,TUN,FRA,1,0,900,1250,11.93,4.21,1.59
2022,24,2022-11-30,AUS,DNK,1,0,850,1050,5.84,4.21,1.85
2022,25,2022-11-23,DEU,JPN,1,2,1200,950,1.74,4.21,7.32
2022,26,2022-11-23,ESP,CRI,7,0,1300,800,1.48,4.21,26.36
2022,27,2022-11-27,JPN,CRI,0,1,950,800,2.0,4.21,4.73
2022,28,2022-11-27,ESP,DEU,1,1,1300,1200,2.19,4.21,3.9
2022,29,2022-12-01,JPN,ESP,2,1,950,1300,11.93,4.21,1.59
2022,30,2022-12-01,CRI,DEU,2,4,800,1200,15.44,4.21,1.54
2022,31,2022-11-23,MAR,HRV,0,0,1000,1150,4.73,4.21,2.0
2022,32,2022-11-23,BEL,CAN,1,0,1300,1000,1.65,4.21,9.3
2022,33,2022-11-27,BEL,MAR,0,2,1300,1000,1.65,4.21,9.3
2022,34,2022-11-27,HRV,CAN,4,1,1150,1000,2.0,4.21,4.73
2022,35,2022-12-01,HRV,BEL,0,0,1150,1300,4.73,4.21,2.0
2022,36,2022-12-01,CAN,MAR,1,2,1000,1000,2.81,4.21,2.81
2022,37,2022-11-24,BRA,SRB,2,0,1350,1000,1.59,4.21,11.93
2022,38,2022-11-24,CHE,CMR,1,0,1100,900,1.85,4.21,5.84
2022,39,2022-11-28,BRA,CHE,1,0,1350,1100,1.74,4.21,7.32
2022,40,2022-11-28,CMR,SRB,3,3,900,1000,3.9,4.21,2.19
2022,41,2022-12-02,CMR,BRA,1,0,900,1350,20.12,4.21,1.51
2022,42,2022-12-02,SRB,CHE,2,3,1000,1100,3.9,4.21,2.19
2022,43,2022-11-24,URY,KOR,0,0,1100,950,2.0,4.21,4.73
2022,44,2022-11-24,PRT,GHA,3,2,1200,900,1.65,4.21,9.3
2022,45,2022-11-28,KOR,GHA,2,3,950,900,2.46,4.21,3.28
2022,46,2022-11-28,PRT,URY,2,0,1200,1100,2.19,4.21,3.9
2022,47,2022-12-02,KOR,PRT,2,1,950,1200,7.32,4.21,1.74
2022,48,2022-12-02,GHA,URY,0,2,900,1100,5.84,4.21,1.85
