tournament,match_number,date,team_a,team_b,team_a_goals,team_b_goals,team_a_fifa,team_b_fifa,odds_home,odds_draw,odds_away
2018,1,2018-06-14,RUS,SAU,5,0,1100,750,1.59,4.21,11.93
2018,2,2018-06-15,EGY,URY,0,1,900,1150,7.32,4.21,1.74
2018,3,2018-06-19,RUS,EGY,3,1,1100,900,1.85,4.21,5.84
2018,4,2018-06-20,URY,SAU,1,0,1150,750,1.54,4.21,15.44
2018,5,2018-06-25,URY,RUS,3,0,1150,1100,2.46,4.21,3.28
2018,6,2018-06-25,SAU,EGY,2,1,750,900,4.73,4.21,2.0
2018,7,2018-06-15,MAR,IRN,0,1,950,850,2.19,4.21,3.9
2018,8,2018-06-15,PRT,ESP,3,3,1250,1300,3.28,4.21,2.46
2018,9,2018-06-20,PRT,MAR,1,0,1250,950,1.65,4.21,9.3
2018,10,2018-06-20,IRN,ESP,0,1,850,1300,20.12,4.21,1.51
2018,11,2018-06-25,IRN,PRT,1,1,850,1250,15.44,4.21,1.54
2018,12,2018-06-25,ESP,MAR,2,2,1300,950,1.59,4.21,11.93
2018,13,2018-06-16,FRA,AUS,2,1,1250,850,1.54,4.21,15.44
2018,14,2018-06-16,PER,DNK,0,1,1050,1050,2.81,4.21,2.81
2018,15,2018-06-21,FRA,PER,1,0,1250,1050,1.85,4.21,5.84
2018,16,2018-06-21,DNK,AUS,1,1,1050,850,1.85,4.21,5.84
2018,17,2018-06-26,DNK,FRA,0,0,1050,1250,5.84,4.21,1.85
2018,18,2018-06-26,AUS,PER,0,2,850,1050,5.84,4.21,1.85
2018,19,2018-06-16,ARG,ISL,1,1,1250,1000,1.74,4.21,7.32
2018,20,2018-06-16,HRV,NGA,2,0,1100,900,1.85,4.21,5.84
2018,21,2018-06-21,ARG,HRV,0,3,1250,1100,2.0,4.21,4.73
2018,22,2018-06-22,NGA,ISL,2,0,900,1000,3.9,4.21,2.19
2018,23,2018-06-26,NGA,ARG,1,2,900,1250,11.93,4.21,1.59
2018,24,2018-06-26,ISL,HRV,1,2,1000,1100,3.9,4.21,2.19
2018,25,2018-06-17,BRA,CHE,1,1,1400,1100,1.65,4.21,9.3
2018,26,2018-06-17,CRI,SRB,0,1,850,950,3.9,4.21,2.19
2018,27,2018-06-22,BRA,CRI,2,0,1400,850,1.46,4.21,34.69
2018,28,2018-06-22,SRB,CHE,1,2,950,1100,4.73,4.21,2.0
2018,29,2018-06-27,SRB,BRA,0,2,950,1400,20.12,4.21,1.51
2018,30,2018-06-27,CHE,CRI,2,2,1100,850,1.74,4.21,7.32
2018,31,2018-06-17,DEU,MEX,0,1,1400,1050,1.59,4.21,11.93
2018,32,2018-06-18,SWE,KOR,1,0,1000,850,2.0,4.21,4.73
2018,33,2018-06-23,DEU,SWE,2,1,1400,1000,1.54,4.21,15.44
2018,34,2018-06-23,KOR,MEX,1,2,850,1050,5.84,4.21,1.85
2018,35,2018-06-27,KOR,DEU,2,0,850,1400,34.69,4.21,1.46
2018,36,2018-06-27,MEX,SWE,0,3,1050,1000,2.46,4.21,3.28
2018,37,2018-06-18,BEL,PAN,3,0,1400,800,1.45,4.21,45.79
2018,38,2018-06-18,TUN,GBR,1,2,850,1200,11.93,4.21,1.59
2018,39,2018-06-23,BEL,TUN,5,2,1400,850,1.46,4.21,34.69
2018,40,2018-06-24,GBR,PAN,6,1,1200,800,1.54,4.21,15.44
2018,41,2018-06-28,GBR,BEL,0,1,1200,1400,5.84,4.21,1.85
2018,42,2018-06-28,PAN,TUN,1,2,800,850,3.28,4.21,2.46
2018,43,2018-06-19,POL,SEN,1,2,1100,950,2.0,4.21,4.73
2018,44,2018-06-19,COL,JPN,1,2,1150,900,1.74,4.21,7.32
2018,45,2018-06-24,POL,COL,0,3,1100,1150,3.28,4.21,2.46
2018,46,2018-06-24,JPN,SEN,2,2,900,950,3.28,4.21,2.46
2018,47,2018-06-28,JPN,POL,0,1,900,1100,5.84,4.21,1.85
2018,48,2018-06-28,SEN,COL,0,1,950,1150,5.84,4.21,1.85
